,情感分析结果,评价倾向,正文内容,标签
23,0.991202879450734,正向,她有个法律意义上的弟弟，还是“独生女儿”吗？,0
24,0.7085923308003611,正向,法官咋判？静候,0
25,0.0046717440028259,负向,真正的海外势力来了，城阳法院的一审成国际笑话了啊，友邦人士莫名惊诧，震惊了，他们的证人，回了国竟千夫所指人人喊杀，依友邦的德性，感觉他们有愧于苦命的刘鑫，没有保护好她，都准备集体剖腹了。。。所以，青岛二审还继续吗，人家可是捏着杀人凶手陈世峰，随时准备拎出来全球直播带货,1
26,0.2131019469058422,负向,你们是法院，不是后院，你们是人民群众舆论阵地的防线，不是舆论的墙头草，司法公正四个字，字字千钧，不要辜负了人民的信任，不要被舆论左右了公平，不要忘记自己的宣誓,1
27,4.440892098500626e-16,负向,为了自保而牺牲她人性命，这种自私的人…好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心好恶心,1
29,0.9998843232983098,正向,现在作恶者用你给的判决书肆无忌惮，这封判决书真的是司法届的耻辱。社会主义核心价值观是属于文化里的，用文化去结案法律，把证人判赔付69万，世界奇观,0
30,0.8531514881025198,正向,刘鑫的粉都是群众自发的,0
31,0.9456232159722172,正向,判案不是应该建立在事实基础上有理有据的判吗？我认同刘鑫给予人道补偿。但其他的日本庭审不是给出了答案，刘如何预知危险呢？,0
32,0.963208326097799,正向,@城阳区法院 能不能硬气一点？！利用法律赋予的权力，把冲击法院权威，辱骂法官的江太厚绳之以法，还网暴受害者刘鑫一个公道！,0
33,0.9610369820955474,正向,@Sirius_1129 这个洗地的快把自己吓死了！还不让评论了？真是笑死我了！斗鸡眼韩素和伪善人陈岚的信息都是她们自己公开的，怎么就不能说了？这个洗地的果然是一个法盲！,0
34,0.8098899315710294,正向,那些人要逼死江歌妈妈，你们不管了？,0
36,0.0055817209661533,负向,刘鑫水军最典型特点，关闭评论，只有他们内部人员才能评论，我就问他们心虚什么？左右舆论的目的太明显了吧，生怕放开评论，会被带偏舆论？,1
37,0.0115495930846839,负向,“推人 锁门 袖手旁观” 这些结论你们是怎么得出来的？ 有没有证据？？没有证据你们怎么能就这样写到判决书里？,1
39,0.961168117464072,正向,法院竟成了江太厚的私家后院[赞][赞][赞],0
40,0.8423069654054998,正向,你们要用法律维护一个网络网暴者吗？ http://t.cn/A66Vj0TX,0
41,0.9935141209245992,正向,一审判决之前，江秋莲引导网民网暴法院，我就想问，法律的威严在哪里？？一个被舆论操控的法律，凭什么值得我们相信？,0
42,0.1862550391405876,负向,一个证人 一个受害者 要被逼死了 你们就是推手！！,1
43,0.0427226621097598,负向,你们判案看证据吗？？网络上的声音就是民意吗？那是水军！！,1
44,0.8402763913567389,正向,这是法院的官微嘛？行文令人惊讶，不够严谨。前述部分像是抄写网络通告。“明显过失，和阻挡被害人”此类描述相信是通过证据而不是陈述而单方面采纳的吧？,0
45,0.9397778823503076,正向,司法公正,0
46,0.1097690281162097,负向,这判罚简直离谱,1
47,0.724724905238265,正向,这种审判实在是不公正，以道德来公判,0
48,0.2660677165502492,负向,好像判的不合理,1
49,0.9634272617618052,正向,为恶人背书，恶果无穷。不知道法官大大们看到了吗？,0
50,0.7193418348052781,正向,你们啊，城阳法院啊，载入史册了，法治之耻。,0
51,0.0288218716104562,负向,他们都是水军[失望]相信我[失望],1
52,0.9999780723566754,正向,判决是根据情节、损害程度、社会影响，体现了情理法三统一，弘扬了中华传统美德，体现了社会主义核心价值观的要求。[作揖][赞],0
53,0.982641530841812,正向,你们真的是中国四大的耻辱，现在别人说是你们让你们认定的，你们可安逸了？,0
54,0.9891849958244144,正向,刘鑫也是这个案子的受害者，江秋莲这样影响司法还谈什么法治？,0
55,0.6576925754754487,正向,为恶人背书的恶果看到了吧？动辄拿你们当枪使，说锁门是你们判的。,0
56,0.6188625363143211,正向,对中国司法非常失望！你们根本就是被江秋莲牵着鼻子走！你们根本就是只看舆论不看证据！,0
57,0.9962563288811512,正向,舆论影响司法的典型案件！谁闹谁有理！历史会记住你们的判决！,0
58,0.9999058679359948,正向,最后一段写的很清楚，判决根据情节、损害程度、社会影响，体现了法理情，弘扬了中华传统美德，体现了社会主义核心价值观的要求。,0
59,0.8936022068038075,正向,你们为什么要这样？你们都怕，我们还有安全感吗？而且，这样判，怎么可能糊弄的过去，怎么挡住悠悠众口？你们支持的是恶人啊！好难过，好难过！,0
60,0.9993630844995262,正向,耻辱舆论裹挟判案，中国法律的耻辱事件[允悲],0
62,0.9810497212824468,正向,呵，我就笑笑，毕竟你是最“权威”的法律，你说啥就是啥，多说一句不同意见我都怕有人说我网暴威胁你,0
63,0.9687232356200308,正向,你们可以载入史册了，中国法律之耻。,0
64,0.3673347601669856,负向,这案子如果是在6月判的，估计会下一场大雪吧,1
65,0.1257344294185106,负向,一遍散发着廉价的善意，一遍又恶毒的诅咒；这么有弹性的判决书第一次见,1
66,0.9965968626775292,正向,嗯，世界上头一回，刑事案件中的证人被判罚款。,0
67,0.8545439254776698,正向,我对二审抱有极大信心。毕竟一审的审判长就是二审委员会委员之一。自己审自己，一定可以给大家一个公正的判决[二哈][二哈][二哈][二哈][二哈],0
68,0.3457294343979923,负向,@城阳区法院 如果认定江歌真的是见义勇为，能不能申请烈士呢？我强烈建议授予江歌烈士称号！,1
69,0.0128926397431186,负向,所有网暴者 都欠刘鑫一个道歉。江qiulian公布捐款数额！,1
71,0.8421752005548043,正向,舆论绑架司法[哈欠],0
72,1.6455706548956783e-05,负向,江秋莲长期非法募捐不公开，持巨额善款构陷证人，要挟法庭制造冤案，社会影响恶劣//@苦咖啡-夏莲:我没有义务给你看，你们不是已经在联合控告我诈捐诈骗一类的罪名吗？我等着国家机关调查我！//@五角星阿星:你先公布一下善款去向和法院卷宗吧，对公众最大的质疑避而不谈，支持你的人只会越来越少[摊手],1
73,0.5914371536746121,正向,舆论绑架司法，真丢人,0
74,0.7592675844258019,正向,这法官的水平可以说是闹着玩了,0
75,0.9807686322907714,正向,被舆论操控的司法，让人觉得寒心。,0
76,0.0349858581354743,负向,@专门去踩坑：@城阳区法院 如果认定江歌真的是见义勇为，能不能申请烈士呢？,1
77,0.9651837786049378,正向,原来江歌是被刘杀死的，陈不是杀人犯。建议陈家人拿着判决书去日本请求伸冤,0
78,0.9965175842346544,正向,拿出法律该有的严谨和理性，不要被舆论绑架。,0
79,0.9659493599029914,正向,天呐，怎么会有这种人，人心险恶,0
81,0.7540861224757134,正向,到底被录音了什么不得了的内容？！,0
82,0.0097925264348773,负向,请问这样的判决，往后还有人敢合租吗？[二哈],1
83,0.1148957854835427,负向,真是恶心的判决,1
84,0.1131619009475772,负向,恶心的判决,1
85,0.9982332953057114,正向,这里都是正义的人[赞]，在其他作家那里，随便说一句关于刘鑫的事，就被刘鑫的支持者人身攻击骂的狗血淋头[赞]都不敢说话[允悲],0
86,0.7277405017941082,正向,莫让我国法制建设倒退回大清《葫芦僧乱判葫芦案》,0
87,0.2434087387338129,负向,如果发回重审，恳请城阳区法院像爱惜生命一样爱惜党和人民赋予的权力，千万不要让贪婪恶磨得逞。这是一个悲剧，而刘鑫是凶案的幸存者，她在异国他乡被信任被保护，生她养她的故土也一定会给她公平和抚慰。,1
88,0.3041108716914709,负向,如果二审刘鑫血溅当场以死明志，你就是凶手之一！城阳法院,1
89,0.6755407653910152,正向,呵呵,0
90,0.0097925264348773,负向,请问这样的判决，往后还有人敢合租吗？[二哈],1
91,0.0151244276621085,负向,法院带头网暴现场,1
92,0.6922311779794338,正向,请法院基于具体事实真相做出判决。否则民心何在啊,0
93,0.9723276893528848,正向,请问贵院是如何认定陈在门外与江歌相遇并发生争吵？这与日方认定事实不符，与邻居及刘鑫证词不符,0
94,0.02545655372138,负向,这个法院证据都没搞明白，就随便判了，太草率了，真是要把人逼死,1
95,0.9795438120320872,正向,看来被录音内容很关键啊,0
96,0.9835621761869858,正向,公道自在人心,0
97,0.0747506336304497,负向,把刘鑫送回日本判刑吧，她做假证。陈也从牢里拎出来重审,1
98,0.998708523199416,正向,回复@沐阳清咖:麻麻麻麻，你们真能翻，这都是啥时候的事啊？！[允悲][允悲][允悲],0
99,0.9977888414510232,正向,呵呵，牛逼！舆论干扰司法！中国司法不得人心！,0
100,0.1669121041671079,负向,希望你们能摆事实摆证据，认真对待各方的证据还原真相，你们是法院又不是宣传媒体，这份判决书在我这种外人看都很奇怪和业余,1
101,0.1590759296309289,负向,葫芦僧判葫芦案，你们很会！,1
102,0.9996059123590092,正向,法律专业在各大院校撤销吧。不用培养法律人才了，以后有热搜就行！,0
104,0.3272723639641077,负向,城阳。如果你们被威胁了就眨眨眼,1
105,0.998946267528727,正向,案件民事推翻刑事。刘陈当事人回日本重审吧,0
106,0.0741429674464304,负向,刘鑫如果事先知道会出人命那就是窝藏合谋害人啊，得回日本刑事重判啊！！！,1
107,0.298842318439059,负向,陈Sf家人拿着城阳法院的判决去日本给陈伸冤吧,1
108,0.6995658826060619,正向,民事诉讼推翻刑事诉讼？？？,0
109,0.9763802872918306,正向,偏听偏信，法律之耻,0
110,0.0106737213498754,负向,锁没锁门这个事太关键了。一定要核实清楚。如果锁了，就是侵害了江歌的生命权。如果没锁，那就和刘鑫没关系。大家自己上网上找证据去吧。,1
111,0.1688363009923676,负向,舆论杀人案 刘鑫实惨,1
112,0.7373759304538434,正向,这个月 我就认识了两个地方，一个是徐州丰县，一个是青岛城阳区。,0
113,0.0196452161026754,负向,建议大家听一下录音，若刘鑫说的真是你不要闹了，跟前面的门锁了有何联系？且会说的那么绝情吗？至少音会重一些吧，结果这个字是轻声！说明她是无所谓且高傲的态度，解读是不想跟外面有关联，因为自己的命已经保住了，不会关心外面了，当然你们外面也不要影响到我，我只能报个警而已，救人？想都别想！,1
115,0.37051815622249,负向,刘鑫的两次报警录音你们听了吗？听了的话，怎么还回做出那样的判决,1
116,0.1393807394695,负向,刘鑫非法住在江歌的房间（未落户），锁了江歌回家的家门，告它个私闯民宅不为过吧？更何况是房屋租续期间本就属于江歌的救命的一扇门！,1
117,0.7407621113943376,正向,可咋办啊？这么大的事，很容易成为民族罪人的。,0
118,0.3354936919953217,负向,如果判定刘鑫锁门是用的陈世锋的证词，可信度又有多少？希望判决不要被舆论裹挟，得到公正的二审判决。,1
119,0.1819636727125503,负向,很多评论明显是刘鑫团队教化的水军！ 胡律师的粉丝数：83万？ 支持刘的评论：1、只在特定微博号下疯狂评论；2、内容反反复复也都是那200来个人发的，且评论点赞基本不过200；3、方向基本一致，有的居然用同似的文案相同清晰度的图片。 还各种反咬江妈！ 丧良心的水军没好下场，反正我不是水军我不怕。,1
120,0.8664950792975588,正向,舆论裹挟司法的典型。刘鑫如何未卜先知陈世峰会杀人？哪条法律要求受害人必须冲出门去和歹徒血拼？刘鑫的报警录音里警察都叫刘鑫锁好门，警察也需要向江歌妈妈赔偿70万是吗？,0
122,0.2263754066737847,负向,此案将在中国司法史上留下浓重的一笔！,1
123,0.9729817270377528,正向,[允悲],0
124,0.0066618373366879,负向,我就想问一句，刘鑫先行入室将门锁闭，这结论是法院自己取证于日本法庭，还是来自当事人的某一方？,1
125,0.0680088334214481,负向,得了吧 水军们 到底收了刘鑫和胡律师多少钱?,1
126,0.9994188773134914,正向,举头三尺有神明，阳城区法院的确对我国法治建设来了个当头棒喝！,0
127,0.9989472376764676,正向,不站任何方，但贵院一审判决违反了法律应以事实为依据的基本原则，是法律的耻辱！,0
128,0.9868063445390136,正向,推翻日本判决了[允悲],0
129,0.0152917697989913,负向,只承担民事赔偿责任，不需要负刑事责任，这样的判决结果跟没判有啥区别？如果换做是我，我大概会选择极端激进的方式来表达所遭受的痛苦,1
130,0.9661498308329738,正向,此判决与日本的差别很大，等着看到底哪个会是司法界的耻辱，哪个又会是网暴的推手。真相就在那儿，就看谁更能靠近它,0
131,0.0123575592468949,负向,遇到危险不向当地警察求助，反而向同样手无缚鸡之力的女生求助，在遇到危险后只顾自己安危，良心在哪里？这种人应该枪毙！,1
132,0.8020859269935734,正向,@米花不拉粑粑 来看看。,0
133,0.0315383226136771,负向,@城阳区法院   你们法院派专门的工作人员去日本找日本司法界对接调取完整庭审记录能死人还是咋滴？怎么判案子的？查都不查的工作人员都干嘛呢调查程序在哪儿呢？？？？,1
134,0.9832993455375318,正向,@Dear-是仙儿啊 好气哦！好人没好报！这个刘某居然还有脸活着,0
135,0.7398109395780503,正向,能不能写进她档案里面，记录一辈子！！,0
137,0.1015184558107775,负向,判得少。能用钱解决的事她不会觉得是什么难事！,1
138,0.872698788663066,正向,@蛋卷超人ONEPUNCH,0
140,0.9952330603557688,正向,法院的判决让我相信正义的力量，希望我们的社会更加美好,0
141,0.062496703942343,负向,处罚太少了,1
142,0.9996098089324382,正向,漏洞百出的判决有脸发出来[二哈][二哈][二哈]黄律师微博里说的海藻是谁[二哈][二哈][二哈]海燕啊[二哈]长点心吧！国家法律才能保护你[二哈]海燕,0
143,0.2484189428344321,负向,还是这个法院的厉害，日本那边事发后马上调查都掌握不了这些细节，n年后这个法院远在千里之外隔空就认定了这些事情并推翻了了日本方的判决书，说明我们的调查技术之高超[干杯],1
144,0.6195683088083821,正向,审判长这身体不太好啊,0
145,0.3879292476432376,负向,就我对日本判决书的理解，你们的判决书与之有非常大的出入，就你们法院提出的一系列证词，我希望可以看到依据，你们是依据什么推翻了日本的判决证词的？@城阳区法院,1
146,0.999873480859292,正向,刘鑫背后有毒团队，包括反华势力精日分子，教唆蠢刘鑫继续作恶，装十三装可怜满嘴假话，死皮赖脸胡搅蛮缠闹法院，并组织网络水军造谣污蔑江歌妈妈，颠倒是非给刘鑫洗白，还假装成法律精英分析案情搅浑水，攻击中国司法机构，扰乱中国社会秩序！,0
147,0.977511069870235,正向,江母还真有本事，法官都屈服了。,0
149,0.0963814328113279,负向,可人家刘鑫刘暖曦还藐视法庭判决，上诉就上诉还和那个律师狼狈为奸，装可怜，搞募捐！我搞不懂刘暖曦一个大活人搞什么募捐？完全是诈捐！！！而且，上诉内容完全藐视法律！@城阳区法院 已经判决，法庭判决了！讲究证据！而刘暖曦和她律师还死不认账！认为是道德绑架法庭法官？让人无语！他们想颠倒黑白,1
150,0.0022781732815734,负向,有什么样的刘鑫蛆，就有什么样的刘鑫。刘鑫蛆的特点就是：一蠢二坏三没用，除了乱喊乱叫屁用没有。,1
153,0.951131512904686,正向,真是善的基础，没有了真，善也只是伪善。,0
154,0.0100345599278284,负向,劳荣枝案受害木匠家属获赔四万八千余元，虽不满意但不上诉，劳荣枝不服一审判决上诉，受害者家属虽不满但一直耐心等待二审，从未在公众面前造舆论，煽动网民情绪，喋喋不休地控诉，大打口水战，这是受害者家属所体现的教养,1
157,0.2671164121256083,负向,啊对对对啊对对对[二哈]连70w都不到啊对对对,1
158,0.0078844369289176,负向,刘鑫有错该死，得到报应了，这个事完了，请江秋莲女士回应五年收集善款千万，不停敛财请给大众的善良一个交代 http://t.cn/A6ivmcFe,1
159,0.9999997322389096,正向,凶手已经按日本的法律被判刑。受援者如果以【侵犯援助者生命权】为由被中国的法律判罚，那么援助者瞬间就从见义勇为被某些人塑造为见钱勇为，这一定不是援助者的初心，是对援助者的抹黑。何况援助者也已经见不到这些捐款，捐款去哪里了？这就是问题的核心。是不是这个道理？,0
160,0.9951581518790804,正向,上诉的胜算与否其实对谁都不重要。就看这个烫手的山芋最终会烫着谁？吃瓜的就是要看个逻辑判断，【证据】的概念为何物？【法理】的引述出于法典哪款哪条？被受害者家属认可并感谢的他国法院判决如何与本国法院的判词逻辑自洽。,0
161,0.0008225606036521,负向,倘若某一天东窗事发，网曝和网络诈骗被作为一件新闻（其实网络是有记忆的）……那时誰叼盘也都将无济于事。那时候估计不会出现证据不足道德来凑的尴尬状。厚道是做人的本分。古人说得好：己所不欲勿施于人！,1
163,0.9914326305028832,正向,你们所谓的理性就是牺牲一个当事人的利益谋取流量吗？谢琳谢罪吗？ http://t.cn/A6JsM0Ld,0
166,0.6041714731996675,正向,不想跟任何人撕，始终保持中立，毕竟我没有参与，也不想评判，各位网友能不能矜持一点？清者自清，浊者自浊。,0
167,0.0336527297149985,负向,取其性命才是公平操作[怒]这种人不该得到如此善待,1
168,0.908734166194214,正向,刘鑫还想趁着十五岁弟弟被网暴的舆论洗白自己，呵呵，如果是她真是死不足惜[抱抱],0
169,0.6913930543457991,正向,@与夏鸣星,0
170,0.1837774401290002,负向,呵呵了，一条命就69万，等以后我钱多了，就用这种办法弄人去[太开心],1
171,0.9273796729692134,正向,@薯饼过度,0
172,0.6190896557482701,正向,她为什么不坐牢！这是故意杀人罪,0
173,0.6601202060750072,正向,案发过程是怎么取证的呀，被害人家属描述？,0
174,0.877796939266116,正向,不接受扭曲事实的判决，不接受道德代替法律的判决。仅靠着剪辑小视频就判案，公正何在？[doge]看二审打脸一审,0
175,0.9474134880030552,正向,预测的能作为凭据。舆论不能裹挟司法。,0
176,0.3243777387438427,负向,江秋莲募捐的几千万省的点用，别买热搜买水军买媒体花完了，后面翻车了就还不出来了,1
177,0.6211369463405694,正向,@小行侠客6 不服你可以来上诉 不用躲在那里整天侮辱我们中国法律 侮辱人家城阳法院法官,0
178,0.9997414030092282,正向,预测：倘若二审，那么双方的辩护词（无论出于何人之手）皆可以成为政法学院的辅助教材。这个案例的特殊性想不成为范本也难。一个刑事案件，两国法院判审，三位关系复杂的当事人，……除了受害人是明确的，另两位谁是证人？受害人家属怨恨的对象逻辑上应是谁，而事实上又是谁？……好大一个瓜！,0
179,0.2127099184323146,负向,城阳区法院[good][good][good],1
180,0.9645999614390895,正向,彭宇案后老人倒地无人扶，此案后谁还会捐款？她妈的敛财手段太高，居然还不受惩罚。烫手山芋真的不烫手？拭目以待！[围观][围观][围观],0
182,0.6911764705882352,正向,感谢,0
183,0.849640301849203,正向,日常疑问🤔️ http://t.cn/A6Jl0Nay,0
184,0.9999600933571228,正向,人民法律为人民 感谢城阳区法院辛苦的工作者们！这份判决出的好，既谴责了刘的不道德的行为，更褒扬了江歌的善行[good][good][good]🙏🙏🙏[鲜花][鲜花][鲜花][鼓掌][鼓掌][鼓掌],0
186,0.375,负向,赔钱了吗？,1
187,0.9320812039083574,正向,迟到的正义，还是感谢城阳区法院的作为,0
188,0.6666666666666666,正向,这是你们的耻辱,0
189,0.9465618810872564,正向,如果刘鑫及家人一开始就保持正常人的低调，或者有一点责任心，也不至于现在闹上法庭。,0
190,0.716891954668542,正向,呵呵，法院也不过如此，谁能闹谁有理？,0
192,0.787781350482315,正向,社会在进步,0
193,0.1622643124981027,负向,一条人命就值200万？？,1
195,0.9989081421694672,正向,江家军试图用舆论左右法律 怎么判 判多少全凭他们的喜怒哀乐判定[泪],0
197,0.8140701019902239,正向,瞎判，被绑架了眨眨眼,0
198,0.9057132912685476,正向,我会教育我的孩子，不要做江歌这样的人！见到刘鑫这样人一脚踹,0
199,0.8744466431926933,正向,回复@现实比神话有意义 的表态:谢谢,0
200,0.1160551316951398,负向,@胡锡进 ，来老胡，进来看看这里的评论[微笑],1
201,0.1483196739870663,负向,就这点儿处罚？难以接受啊……,1
202,0.0696826829693033,负向,江秋莲的狗叫你们判刘鑫过失杀人或者故意杀人呢，城阳道德院，你们和稀泥好像越和越包不住了呢？麻烦赶紧开庭判刘鑫死刑，不然这事没完，人家江母还在十五年后等着你们呢。,1
203,0.1055513259960375,负向,江秋莲大骗子，遇到一个糊涂的道德院,1
204,0.9993411641146908,正向,英雄白骨，恶魔人间。,0
205,0.0604703099547059,负向,能不能教教我怎么做才能不用赔钱？请示范,1
207,0.3808760685833373,负向,江秋莲网络涉黑，这个有人管没人管？,1
209,0.0046360003025232,负向,江谣棍的律师黄算是大粪臭大街了[吐][吐][吐],1
210,0.3452787547128308,负向,她不坐牢,1
211,0.8911687976358202,正向,原来陈世锋判重了。陈家如果看到这份判决，希望也起诉。,0
212,0.198940059037787,负向,舆论裹挟判决，悲哀到了极致,1
213,0.6310104750478939,正向,推人锁门，这样的事实到底是怎么认定的？[微笑],0
214,0.997995865752179,正向,未来必将被钉在中国司法耻辱柱上。,0
215,0.8165227743437531,正向,难道陈世峰实施的计谋里早就考量到了受害者家属的能量？这一路的神操作可以把自己置身于无影，高，实在是高！戏还会如何演下去？“我正在城楼观山景，耳听得城外乱纷纷。旌旗招展空翻影，却原来是司马发来的兵。……你不要胡思乱想心不定，你就来，来，来，请上城来听我抚琴”谁……上诉？还是不上诉？,0
216,0.8997367701019113,正向,原告受害人家属，被告置人于死地的刘鑫，证人陈世峰。本庭判决如下：@#￥%……&***@@。这个脚色转换诸位看懂了吗？[思考][疑问][费解][允悲],0
217,0.908825518025553,正向,按照这个判决缘由。陈世峰应该减刑。刘鑫应该判刑才对。[吃瓜],0
218,0.1689126551975097,负向,不是钱的问题，得坐实她的罪啊，难受,1
219,0.9944165669076352,正向,希望陈世峰早日出来，出来后不忘初心，继续奋斗，完成他未竟的事业[微笑],0
220,0.999958753669324,正向,沙盘推演的结果就是要推翻日本法庭的判决，为杀人者鸣冤叫屈。呜呼，这逻辑是要把大家引向何方？好一个罪名：把江哥置于死地……。原来是凶手和证人合谋作案，谁是主犯尚待定。这该当何罪？判罚四六开还不知谁是六。看来只有静候二审判决。吃瓜的很好奇他俩的作案动机。[围观][围观][围观],0
221,0.9706487676263758,正向,正道的光！[中国赞],0
222,0.9346692036634882,正向,不行啊 照这个事实认定必须对刘鑫提出刑事诉讼，故意伤害罪 过失使人死亡 或者间接故意杀人,0
223,0.2343302579218993,负向,按城阳区法院的判决，那陈就不是蓄意杀人了，陈是发声争执后再杀人，那就是说日本法院判错了，应该给陈减刑,1
224,0.9999842534288784,正向,山东司法坏了整个中国司法界的名誉，让法律的尊严崩塌,0
225,0.8912859399383535,正向,果然山东套路深,0
226,0.9999995691848688,正向,东京江案庭审，会让你瞠目结舌。第一次见到被害人家属与凶手站在一起去怼检方证人。。。陈世峰的律师非常聪明的利用了江母对刘的仇恨而为陈脱罪。江母塑造恩将仇报的刘鑫对炒作有利对募捐有利，但对法院追究真相伸张正义有害。原告被告联手对付证人，创造了奇迹一幕。,0
227,0.0008697980586745,负向,为什么只判这么少？依据是什么？这回实在找不着借口往后拖了吗？？？,1
228,0.999999977181934,正向,在网络造势博同情搅舆论，拉踩引战 ，互撕谩骂，党同伐异，引众人关注集中一身，力压受害者家属群体，抢占风头，烘托成全天下最惨最苦的伟大形象，借讨公道引流变现。那些不在公众面前表现的受害者家属，默默承受一切苦难去讨公道，而恰恰是他们起到了正向作用，却成了过眼云烟无人提及，此歪风不可长,0
229,0.591298233386653,正向,就这，刘鑫作为间接杀人犯竟然没判刑，真侥幸,0
230,0.9368868630624728,正向,法律人应该是最不缺乏常识和逻辑的公务员……,0
231,0.9677916097810022,正向,充满智慧的判决书，感谢法院，感谢中国法治！,0
232,0.6286616535681528,正向,新·葫芦僧乱判葫芦案，载入法史吧[微笑],0
233,0.0136517490086947,负向,1“请求江歌回来帮助解围”——江歌主动说别开门，我回来。刘鑫方才回复快回来。为什么不写清楚是江歌主动帮助解围？而去渲染刘鑫把江歌卷进来？2陈世峰说的是不顾一切追回来，明明是求复合，刘鑫如何告知恐吓？3陈世峰与江歌遭遇并发生争执，这个“争执”内容是什么？邻居听见了？陈世峰口述的？,1
234,0.9999969708844714,正向,此判例无疑将进入政法学院的教案中，也会在以后的社会普法教育中被提及。何谓证据？何谓法典？人们就会拿此案例讲解。,0
235,0.9995037628345144,正向,很失望。从小到大学的都是法不容情，法律威严不可触碰。现在长大了，明白了。法律也是可以被道德舆论绑架。,0
236,0.8213909561638809,正向,[蜘蛛侠][钢铁侠],0
237,0.2436186928618992,负向,我相信以前法官是真的病了，他也不想这么判的！恐怕自己也会自责后半辈子,1
238,0.0003242576838554,负向,法院判刘暖曦败诉是应该的，都在大家意料之中，本身就是刘暖曦故意锁门导致江歌被害！但赔偿金额真的不该只有这么点！仅仅精神赔偿这一项起码就应该100万以上，再加上其它七七八八费用200多万是应该赔偿的，69.6万是法院瞎眼判算的吗,1
239,0.8138178000619811,正向,大山东牛B！舆论判案,0
240,0.0088154596259318,负向,怎么做才能不败诉赔钱？是开门冲出去和歹徒搏斗？是开门冲出去让歹徒杀了？是不听警察的话强行开门破坏现场？是开门给江歌做人工呼吸心肺复苏？是谈恋爱时找个算命先生算算男朋友会不会变杀人凶手提前远离？[doge][doge][doge] http://t.cn/A6JILM7D,1
242,0.227424553513953,负向,就这，太少了吧，庭上,1
243,0.9386694771799368,正向,法律之耻！,0
244,0.056546797871708,负向,总算有结果了 [失望],1
245,0.6666666666666666,正向,耻辱,0
246,0.0073960109272865,负向,请问江秋莲到你们法院打这个民事官司怎么花了120万？你们法院打官司这么贵吗？,1
247,0.8344621160496015,正向,可悲，竟然有民事庭推翻刑事庭这种奇葩事，是不是低成本的维稳比真正的公义来得容易？,0
248,0.1539528432732315,负向,非常失望。,1
249,0.388479540407549,负向,不知道怎么说。我是很爱自己的国家的。但是这个时候有点伤心,1
250,0.0884774307053969,负向,刘鑫的行为真的太恶心了，这女的真是心肠歹毒迟早有报应会到她身上,1
251,0.999999968400788,正向,一个案子，两国审判，三个当事人。一个被杀，一个坐牢，一个罚款。为达灰飞烟灭的效果，一万种办法尚待祭出。这样的连续剧，这样的逻辑关系，这样的法律考量，这样的人间喧嚣…哪位作家能写出如此煌煌巨作？其中的哲学思考已经远远的甚于现实案情。不是证据的证据胜似证据，何等豪气万丈！[思考][允悲],0
252,0.0267995577800401,负向,日本警方在未来确定之前都要求不要开门，那日本警方是否也有责任？,1
